checkpoint_label,noise_group,sample_label,case_id,noise_pct,overlap_bucket,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
baseline,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
ep004_phase1_top4_anchor,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.25,3.2179645621332615,0.5251997399170255,2.2885648803010543,0.4041999419151816,0.021765913757700206,0.6794871794871795,0.04218066056506168,339,257
ep004_phase1_top4_anchor,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.05,18.75806876218494,0.13571809716436228,17.606316851275707,1.0160338137448688,0.24853211285417484,0.9795869926418229,0.39647428969426235,522,257
ep004_phase1_top4_anchor,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.25,7.782729133657318,0.34724010348339196,5.993047292478888,1.4424417376950378,0.501836574938279,0.989081414668882,0.6658410897615148,395,257
ep004_phase1_top4_anchor,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.05,31.669348542710196,0.2676750574656719,25.075561834883096,6.326111650361421,0.4268951454226737,0.9797208538587849,0.5946727132285151,620,324
ep004_phase1_top4_anchor,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.25,18.555134056048797,0.6312379831813048,10.732058603694117,7.1918374691733735,0.6347463329296191,0.9681444991789819,0.7667723319515566,510,324
ep004_phase1_top4_anchor,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.05,24.53050982406298,8.469758559400187e-06,22.450030737527683,2.0804706167767395,0.0036418607847179276,0.8548387096774194,0.007252822442695861,421,237
ep004_phase1_top4_anchor,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.25,10.888353289154416,0.24472076217744543,9.78967190831753,0.8539606186594417,0.012117540139351714,0.6451612903225807,0.02378828426999703,332,237
ep004_phase1_top4_anchor,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.05,26.062114258117013,0.1274331612293312,23.310020762331256,2.6246603345564288,0.3264833842451171,0.9800852167469433,0.48980442078463143,549,294
ep004_phase1_top4_anchor,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.25,13.288111279846964,0.4658162992300681,10.484352084445526,2.33794289617137,0.5550343623868224,0.9425713227121155,0.6986611740473739,423,294
ep007_phase2_top6_overlap,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,19.71299523728068,0.2858395700637952,18.927774904658985,0.4993807625579007,0.46053312629399584,0.9716079716079716,0.6248792906680712,427,285
